# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|C_DelvesUI.GetCurioLink|AllowedWhenTainted|
A|C_DelvesUI.GetCurioNodeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetCurioRarityByTraitCondAccountElementID|AllowedWhenUntainted|
A|C_DelvesUI.GetFactionForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetFlavorNodeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetFlavorNodeNameForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetLockedTextForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetModelSceneForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetPlayerCompanionPDEID|AllowedWhenUntainted|
A|C_DelvesUI.GetRoleNodeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetRoleSubtreeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetTraitTreeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.GetUnseenCuriosBySlotType|AllowedWhenUntainted|
A|C_DelvesUI.IsDelveEntranceTierEnabled|AllowedWhenUntainted|
A|C_DelvesUI.IsEligibleForActiveDelveRewards|AllowedWhenUntainted|
A|C_DelvesUI.IsTraitTreeForCompanion|AllowedWhenUntainted|
A|C_DelvesUI.RequestPartyEligibilityForDelveTiers|AllowedWhenUntainted|
A|C_DelvesUI.SaveSeenCuriosBySlotType|AllowedWhenUntainted|
A|C_DelvesUI.SelectDelveEntranceTier|AllowedWhenUntainted|
A|C_Discord.GetDiscordChannelName|AllowedWhenUntainted|
A|C_Discord.GetDiscordUserName|AllowedWhenUntainted|
A|C_Discord.GetNumDiscordChannels|AllowedWhenUntainted|
A|C_Discord.GetServerLinkableChannels|AllowedWhenUntainted|
A|C_Discord.GetServerName|AllowedWhenUntainted|
A|C_Discord.GuildLink|AllowedWhenUntainted|
A|C_Discord.IsGuildSettingSet|AllowedWhenUntainted|
A|C_Discord.SetGuildSetting|AllowedWhenUntainted|
A|C_DyeColor.GetAllDyeColors|AllowedWhenUntainted|
A|C_DyeColor.GetDyeColorCategoryInfo|AllowedWhenUntainted|
A|C_DyeColor.GetDyeColorInfo|AllowedWhenUntainted|
A|C_DyeColor.GetDyeColorsForItemLocation|AllowedWhenUntainted|
A|C_DyeColor.GetDyeColorsForItem|AllowedWhenUntainted|
A|C_DyeColor.GetDyeColorsInCategory|AllowedWhenUntainted|
A|C_DyeColor.IsDyeColorOwned|AllowedWhenUntainted|
A|C_EditMode.ConvertLayoutInfoToString|AllowedWhenUntainted|
A|C_EditMode.ConvertStringToLayoutInfo|AllowedWhenUntainted|
A|C_EditMode.IsValidLayoutName|AllowedWhenUntainted|
A|C_EditMode.OnLayoutAdded|AllowedWhenUntainted|
A|C_EditMode.OnLayoutDeleted|AllowedWhenUntainted|
A|C_EditMode.SaveLayouts|AllowedWhenUntainted|
A|C_EditMode.SetAccountSetting|AllowedWhenUntainted|
A|C_EditMode.SetActiveLayout|AllowedWhenUntainted|
A|C_EncodingUtil.CompressString|AllowedWhenUntainted|
A|C_EncodingUtil.DecodeBase64|AllowedWhenUntainted|
A|C_EncodingUtil.DecodeHex|AllowedWhenUntainted|
A|C_EncodingUtil.DecompressString|AllowedWhenUntainted|
A|C_EncodingUtil.DeserializeCBOR|AllowedWhenUntainted|
A|C_EncodingUtil.DeserializeJSON|AllowedWhenUntainted|
A|C_EncodingUtil.EncodeBase64|AllowedWhenUntainted|
A|C_EncodingUtil.EncodeHex|AllowedWhenUntainted|
A|C_EncodingUtil.SerializeCBOR|AllowedWhenUntainted|
A|C_EncodingUtil.SerializeJSON|AllowedWhenUntainted|
A|C_EncounterEvents.GetEventColor|AllowedWhenUntainted|
A|C_EncounterEvents.GetEventInfo|AllowedWhenUntainted|
A|C_EncounterEvents.GetEventSound|AllowedWhenUntainted|
A|C_EncounterEvents.HasEventInfo|AllowedWhenUntainted|
A|C_EncounterEvents.PlayEventSound|AllowedWhenUntainted|
A|C_EncounterEvents.SetEventColor|NotAllowed|
A|C_EncounterEvents.SetEventSound|NotAllowed|
A|C_EncounterJournal.GetBaseDifficultyID|AllowedWhenUntainted|
A|C_EncounterJournal.GetDungeonEntrancesForMap|AllowedWhenUntainted|
A|C_EncounterJournal.GetEncounterJournalLink|AllowedWhenUntainted|
A|C_EncounterJournal.GetEncountersOnMap|AllowedWhenUntainted|
A|C_EncounterJournal.GetInstanceForGameMap|AllowedWhenUntainted|
A|C_EncounterJournal.GetLootInfoByIndex|AllowedWhenUntainted|
A|C_EncounterJournal.GetLootInfo|AllowedWhenUntainted|
A|C_EncounterJournal.GetSectionIconFlags|AllowedWhenUntainted|
A|C_EncounterJournal.GetSectionInfo|AllowedWhenUntainted|
A|C_EncounterJournal.InstanceHasDifficultyID|AllowedWhenUntainted|
A|C_EncounterJournal.InstanceHasLoot|AllowedWhenUntainted|
A|C_EncounterJournal.IsEncounterComplete|AllowedWhenUntainted|
A|C_EncounterJournal.SetPreviewMythicPlusLevel|AllowedWhenUntainted|
A|C_EncounterJournal.SetPreviewPvpTier|AllowedWhenUntainted|
A|C_EncounterJournal.SetSlotFilter|AllowedWhenUntainted|
A|C_EncounterJournal.SetTab|AllowedWhenUntainted|
A|C_EncounterTimeline.AddScriptEvent|NotAllowed|
A|C_EncounterTimeline.CancelScriptEvent|NotAllowed|
A|C_EncounterTimeline.FinishScriptEvent|NotAllowed|
A|C_EncounterTimeline.GetEventColor|NotAllowed|
A|C_EncounterTimeline.GetEventCountBySource|AllowedWhenUntainted|
A|C_EncounterTimeline.GetEventInfo|NotAllowed|
A|C_EncounterTimeline.GetEventState|NotAllowed|
A|C_EncounterTimeline.GetEventTimeElapsed|NotAllowed|
A|C_EncounterTimeline.GetEventTimeRemaining|NotAllowed|
A|C_EncounterTimeline.GetEventTimer|NotAllowed|
A|C_EncounterTimeline.GetEventTrack|NotAllowed|
A|C_EncounterTimeline.GetSortedEventList|NotAllowed|
A|C_EncounterTimeline.GetTrackInfo|NotAllowed|
A|C_EncounterTimeline.GetTrackMaxEventDuration|NotAllowed|
A|C_EncounterTimeline.GetTrackType|NotAllowed|
A|C_EncounterTimeline.IsEventBlocked|NotAllowed|
A|C_EncounterTimeline.PauseScriptEvent|NotAllowed|
A|C_EncounterTimeline.ResumeScriptEvent|NotAllowed|
A|C_EncounterTimeline.SetEventIconTextures|AllowedWhenUntainted|
A|C_EncounterTimeline.SetViewType|NotAllowed|
A|C_EncounterWarnings.GetColorForSeverity|AllowedWhenUntainted|
A|C_EncounterWarnings.GetEditModeWarningInfo|AllowedWhenUntainted|
A|C_EncounterWarnings.GetSoundKitForSeverity|AllowedWhenUntainted|
A|C_EncounterWarnings.PlaySound|AllowedWhenUntainted|
A|C_EncounterWarnings.SetPlayCustomSoundsWhenHidden|NotAllowed|
A|C_EncounterWarnings.SetWarningsShown|NotAllowed|
A|C_EquipmentSet.AssignSpecToEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.CreateEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.DeleteEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.EquipmentSetContainsLockedItems|AllowedWhenUntainted|
A|C_EquipmentSet.GetEquipmentSetAssignedSpec|AllowedWhenUntainted|
A|C_EquipmentSet.GetEquipmentSetForSpec|AllowedWhenUntainted|
A|C_EquipmentSet.GetEquipmentSetID|AllowedWhenUntainted|
A|C_EquipmentSet.GetEquipmentSetInfo|AllowedWhenUntainted|
A|C_EquipmentSet.GetIgnoredSlots|AllowedWhenUntainted|
A|C_EquipmentSet.GetItemIDs|AllowedWhenUntainted|
A|C_EquipmentSet.GetItemLocations|AllowedWhenUntainted|
A|C_EquipmentSet.IgnoreSlotForSave|AllowedWhenUntainted|
A|C_EquipmentSet.IsSlotIgnoredForSave|AllowedWhenUntainted|
A|C_EquipmentSet.ModifyEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.PickupEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.SaveEquipmentSet|AllowedWhenUntainted|
A|C_EquipmentSet.UnassignEquipmentSetSpec|AllowedWhenUntainted|
A|C_EquipmentSet.UnignoreSlotForSave|AllowedWhenUntainted|
A|C_EquipmentSet.UseEquipmentSet|AllowedWhenUntainted|
A|C_EventScheduler.ClearReminder|AllowedWhenUntainted|
A|C_EventScheduler.GetEventUiMapID|AllowedWhenUntainted|
A|C_EventScheduler.GetEventZoneName|AllowedWhenUntainted|
A|C_EventScheduler.SetReminder|AllowedWhenUntainted|
A|C_EventToastManager.GetLevelUpDisplayToastsFromLevel|AllowedWhenUntainted|
A|C_EventUtils.IsCallbackEvent|AllowedWhenUntainted|
A|C_EventUtils.IsEventValid|AllowedWhenUntainted|
A|C_FogOfWar.GetFogOfWarForMap|AllowedWhenUntainted|
A|C_FogOfWar.GetFogOfWarInfo|AllowedWhenUntainted|
A|C_FrameManager.GetFrameVisibilityState|AllowedWhenUntainted|
A|C_FriendList.AddFriend|AllowedWhenUntainted|
A|C_FriendList.AddIgnore|AllowedWhenUntainted|
A|C_FriendList.AddOrDelIgnore|AllowedWhenUntainted|
A|C_FriendList.AddOrRemoveFriend|AllowedWhenUntainted|
A|C_FriendList.DelIgnoreByIndex|AllowedWhenUntainted|
A|C_FriendList.DelIgnore|AllowedWhenUntainted|
A|C_FriendList.GetFriendInfoByIndex|AllowedWhenUntainted|
A|C_FriendList.GetFriendInfo|AllowedWhenUntainted|
A|C_FriendList.GetIgnoreName|AllowedWhenUntainted|
A|C_FriendList.GetWhoInfo|AllowedWhenUntainted|
A|C_FriendList.IsFriend|AllowedWhenUntainted|
A|C_FriendList.IsIgnoredByGuid|AllowedWhenUntainted|
A|C_FriendList.IsIgnored|AllowedWhenUntainted|
A|C_FriendList.IsOnIgnoredList|AllowedWhenUntainted|
A|C_FriendList.RemoveFriendByIndex|AllowedWhenUntainted|
A|C_FriendList.RemoveFriend|AllowedWhenUntainted|
A|C_FriendList.SendWho|AllowedWhenUntainted|
A|C_FriendList.SetFriendNotesByIndex|AllowedWhenUntainted|
A|C_FriendList.SetFriendNotes|AllowedWhenUntainted|
A|C_FriendList.SetSelectedFriend|AllowedWhenUntainted|
A|C_FriendList.SetSelectedIgnore|AllowedWhenUntainted|
A|C_FriendList.SetWhoToUi|AllowedWhenUntainted|
A|C_FriendList.SortWho|AllowedWhenUntainted|
A|C_GamePad.AddSDLMapping|AllowedWhenUntainted|
A|C_GamePad.AxisIndexToConfigName|AllowedWhenUntainted|
A|C_GamePad.ButtonBindingToIndex|AllowedWhenUntainted|
A|C_GamePad.ButtonIndexToBinding|AllowedWhenUntainted|
A|C_GamePad.ButtonIndexToConfigName|AllowedWhenUntainted|
A|C_GamePad.DeleteConfig|AllowedWhenUntainted|
A|C_GamePad.GetConfig|AllowedWhenUntainted|
A|C_GamePad.GetDeviceMappedState|AllowedWhenUntainted|
A|C_GamePad.GetDeviceRawState|AllowedWhenUntainted|
A|C_GamePad.GetPowerLevel|AllowedWhenUntainted|
A|C_GamePad.SetConfig|AllowedWhenUntainted|
A|C_GamePad.SetLedColor|AllowedWhenUntainted|
A|C_GamePad.SetVibration|AllowedWhenUntainted|
A|C_GamePad.StickIndexToConfigName|AllowedWhenUntainted|
A|C_GameRules.AutoConnectToGameModeRealm|AllowedWhenUntainted|
A|C_GameRules.DoesGameModeHavePromo|AllowedWhenUntainted|
A|C_GameRules.GetDisplayedGameModeRecordIDAtIndex|AllowedWhenUntainted|
A|C_GameRules.GetGameModeDisplayInfoByRecordID|AllowedWhenUntainted|
A|C_GameRules.GetGameModePromoGlobalString|AllowedWhenUntainted|
A|C_GameRules.GetGameRuleAsFloat|AllowedWhenUntainted|
A|C_GameRules.GetGameRuleAsFrameStrata|AllowedWhenUntainted|
A|C_GameRules.IsClassAllowedForGameMode|AllowedWhenUntainted|
A|C_GameRules.IsGameModeEnabled|AllowedWhenUntainted|
A|C_GameRules.IsGameRuleActive|AllowedWhenUntainted|
A|C_Garrison.AddFollowerToMission|AllowedWhenUntainted|
A|C_Garrison.GetAutoMissionBoardState|AllowedWhenUntainted|
A|C_Garrison.GetAutoMissionEnvironmentEffect|AllowedWhenUntainted|
A|C_Garrison.GetAutoMissionTargetingInfoForSpell|AllowedWhenUntainted|
A|C_Garrison.GetAutoMissionTargetingInfo|AllowedWhenUntainted|
A|C_Garrison.GetAutoTroops|AllowedWhenUntainted|
A|C_Garrison.GetCombatLogSpellInfo|AllowedWhenUntainted|
A|C_Garrison.GetFollowerAutoCombatSpells|AllowedWhenUntainted|
A|C_Garrison.GetFollowerAutoCombatStats|AllowedWhenUntainted|
A|C_Garrison.GetFollowerMissionCompleteInfo|AllowedWhenUntainted|
A|C_Garrison.GetGarrisonPlotsInstancesForMap|AllowedWhenUntainted|
A|C_Garrison.GetGarrisonTalentTreeCurrencyTypes|AllowedWhenUntainted|
A|C_Garrison.GetGarrisonTalentTreeType|AllowedWhenUntainted|
A|C_Garrison.GetMissionCompleteEncounters|AllowedWhenUntainted|
A|C_Garrison.GetMissionDeploymentInfo|AllowedWhenUntainted|
A|C_Garrison.GetMissionEncounterIconInfo|AllowedWhenUntainted|
A|C_Garrison.GetTalentInfo|AllowedWhenUntainted|
A|C_Garrison.GetTalentPointsSpentInTalentTree|AllowedWhenUntainted|
A|C_Garrison.GetTalentTreeIDsByClassID|AllowedWhenUntainted|
A|C_Garrison.GetTalentTreeInfo|AllowedWhenUntainted|
A|C_Garrison.GetTalentTreeResetInfo|AllowedWhenUntainted|
A|C_Garrison.GetTalentTreeTalentPointResearchInfo|AllowedWhenUntainted|
A|C_Garrison.GetTalentUnlockWorldQuest|AllowedWhenUntainted|
A|C_Garrison.IsEnvironmentCountered|AllowedWhenUntainted|
A|C_Garrison.IsFollowerOnCompletedMission|AllowedWhenUntainted|
A|C_Garrison.IsLandingPageMinimapButtonVisible|AllowedWhenUntainted|
A|C_Garrison.IsTalentConditionMet|AllowedWhenUntainted|
A|C_Garrison.RegenerateCombatLog|AllowedWhenUntainted|
A|C_Garrison.RemoveFollowerFromMission|AllowedWhenUntainted|
A|C_Garrison.RushHealAllFollowers|AllowedWhenUntainted|
A|C_Garrison.RushHealFollower|AllowedWhenUntainted|
A|C_Garrison.SetAutoCombatSpellFastForward|AllowedWhenUntainted|
A|C_GossipInfo.GetFriendshipReputationRanks|AllowedWhenUntainted|
A|C_GossipInfo.GetFriendshipReputation|AllowedWhenUntainted|
A|C_GossipInfo.GetOptionUIWidgetSetsAndTypesByOptionID|AllowedWhenUntainted|
A|C_GossipInfo.GetPoiForUiMapID|AllowedWhenUntainted|
A|C_GossipInfo.GetPoiInfo|AllowedWhenUntainted|
A|C_GossipInfo.SelectActiveQuest|AllowedWhenUntainted|
A|C_GossipInfo.SelectAvailableQuest|AllowedWhenUntainted|
A|C_GossipInfo.SelectOptionByIndex|AllowedWhenUntainted|
A|C_GossipInfo.SelectOption|AllowedWhenUntainted|
A|C_GuildInfo.Demote|AllowedWhenUntainted|
A|C_GuildInfo.GetGuildNewsInfo|AllowedWhenUntainted|
A|C_GuildInfo.GetGuildRankOrder|AllowedWhenUntainted|
A|C_GuildInfo.GetGuildTabardInfo|AllowedWhenUntainted|
A|C_GuildInfo.GuildControlGetRankFlags|AllowedWhenUntainted|
A|C_GuildInfo.Invite|AllowedWhenUntainted|
A|C_GuildInfo.IsGuildRankAssignmentAllowed|AllowedWhenUntainted|
A|C_GuildInfo.MemberExistsByName|AllowedWhenUntainted|
A|C_GuildInfo.Promote|AllowedWhenUntainted|
A|C_GuildInfo.QueryGuildMemberRecipes|AllowedWhenUntainted|
A|C_GuildInfo.QueryGuildMembersForRecipe|AllowedWhenUntainted|
A|C_GuildInfo.RemoveFromGuild|AllowedWhenUntainted|
A|C_GuildInfo.RequestGuildRename|AllowedWhenUntainted|
A|C_GuildInfo.RequestRenameNameCheck|AllowedWhenUntainted|
A|C_GuildInfo.SetGuildRankOrder|AllowedWhenUntainted|
A|C_GuildInfo.SetInfoText|AllowedWhenUntainted|
A|C_GuildInfo.SetLeader|AllowedWhenUntainted|
A|C_GuildInfo.SetMOTD|AllowedWhenUntainted|
A|C_GuildInfo.SetNote|AllowedWhenUntainted|
A|C_GuildInfo.Uninvite|AllowedWhenUntainted|
A|C_HeirloomInfo.IsHeirloomSourceValid|AllowedWhenUntainted|
A|C_HeirloomInfo.SetAllCollectionFilters|AllowedWhenUntainted|
A|C_HeirloomInfo.SetAllSourceFilters|AllowedWhenUntainted|
A|C_HouseEditor.ActivateHouseEditorMode|AllowedWhenUntainted|
A|C_HouseEditor.GetHouseEditorModeAvailability|AllowedWhenUntainted|
A|C_HouseEditor.IsHouseEditorModeActive|AllowedWhenUntainted|
A|C_HouseExterior.GetCoreFixtureOptionsInfo|AllowedWhenUntainted|
A|C_HouseExterior.IsAnyDecorAttachedToCoreFixture|AllowedWhenUntainted|
A|C_HouseExterior.RemoveFixtureFromSelectedPoint|AllowedWhenUntainted|
A|C_HouseExterior.SelectCoreFixtureOption|AllowedWhenUntainted|
A|C_HouseExterior.SelectFixtureOption|AllowedWhenUntainted|
A|C_HouseExterior.SetExteriorDecorHidden|AllowedWhenUntainted|
A|C_HouseExterior.SetHouseExteriorSize|AllowedWhenUntainted|
A|C_HouseExterior.SetHouseExteriorType|AllowedWhenUntainted|
A|C_Housing.CanTakeReportScreenshot|AllowedWhenUntainted|
A|C_Housing.CreateGuildNeighborhood|AllowedWhenUntainted|
A|C_Housing.CreateNeighborhoodCharter|AllowedWhenUntainted|
A|C_Housing.DoesFactionMatchNeighborhood|AllowedWhenUntainted|
A|C_Housing.EditNeighborhoodCharter|AllowedWhenUntainted|
A|C_Housing.GetCurrentHouseLevelFavor|AllowedWhenUntainted|
A|C_Housing.GetHouseLevelFavorForLevel|AllowedWhenUntainted|
A|C_Housing.GetHouseLevelRewardsForLevel|AllowedWhenUntainted|
A|C_Housing.GetNeighborhoodTextureSuffix|AllowedWhenUntainted|
A|C_Housing.GetOthersOwnedHouses|AllowedWhenUntainted|
A|C_Housing.GetUIMapIDForNeighborhood|AllowedWhenUntainted|
A|C_Housing.HouseFinderIgnoreNeighborhood|AllowedWhenUntainted|
A|C_Housing.HouseFinderRequestReservationAndPort|AllowedWhenUntainted|
A|C_Housing.OnHouseFinderClickPlot|AllowedWhenUntainted|
A|C_Housing.OnSignCharterClicked|AllowedWhenUntainted|
A|C_Housing.RelinquishHouse|AllowedWhenUntainted|
A|C_Housing.RequestHouseFinderNeighborhoodData|AllowedWhenUntainted|
A|C_Housing.ResetHouse|AllowedWhenUntainted|
A|C_Housing.SaveHouseSettings|AllowedWhenUntainted|
A|C_Housing.SearchBNetFriendNeighborhoodsByID|AllowedWhenUntainted|
A|C_Housing.SearchBNetFriendNeighborhoods|AllowedWhenUntainted|
A|C_Housing.SetTrackedHouseGuid|AllowedWhenUntainted|
A|C_Housing.TeleportHome|AllowedWhenUntainted|
A|C_Housing.TryRenameNeighborhood|AllowedWhenUntainted|
A|C_Housing.ValidateNeighborhoodName|AllowedWhenUntainted|
A|C_Housing.VisitHouse|AllowedWhenUntainted|
A|C_HousingBasicMode.RotateDecor|AllowedWhenUntainted|
A|C_HousingBasicMode.RotateHouseExterior|AllowedWhenUntainted|
A|C_HousingBasicMode.SetFreePlaceEnabled|AllowedWhenUntainted|
A|C_HousingBasicMode.SetGridSnapEnabled|AllowedWhenUntainted|
A|C_HousingBasicMode.SetGridVisible|AllowedWhenUntainted|
A|C_HousingBasicMode.StartPlacingNewDecor|AllowedWhenUntainted|
A|C_HousingBasicMode.StartPlacingPreviewDecor|AllowedWhenUntainted|
A|C_HousingBlueprint.CanExportRoom|AllowedWhenUntainted|
A|C_HousingBlueprint.CanExportTypeFromCurrentLocation|AllowedWhenUntainted|
A|C_HousingBlueprint.CanImportTypeFromCurrentLocation|AllowedWhenUntainted|
A|C_HousingBlueprint.DeleteBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.ExportBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.ExportRoomBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.GetBlueprintHyperlink|AllowedWhenUntainted|
A|C_HousingBlueprint.GetBlueprintTypeForCode|AllowedWhenUntainted|
A|C_HousingBlueprint.ImportBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.IsShareCodeValid|AllowedWhenUntainted|
A|C_HousingBlueprint.RenameBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.RequestBlueprintContentsForContext|AllowedWhenUntainted|
A|C_HousingBlueprint.RequestBlueprintContents|AllowedWhenUntainted|
A|C_HousingBlueprint.StartImportRoomBlueprint|AllowedWhenUntainted|
A|C_HousingBlueprint.UpdateBlueprintStringFromInput|AllowedWhenUntainted|
A|C_HousingCatalog.DeletePreviewCartDecor|AllowedWhenUntainted|
A|C_HousingCatalog.DestroyEntry|AllowedWhenUntainted|
A|C_HousingCatalog.GetAllVariantInfosForEntry|AllowedWhenUntainted|
A|C_HousingCatalog.GetBundleInfo|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogCategoryAndSubcategoryNames|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogCategoryInfo|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogEntryInfoByItem|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogEntryInfoByRecordID|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogEntryInfo|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogEntryRefundTimeStampByRecordID|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogEntryVariantInfo|AllowedWhenUntainted|
A|C_HousingCatalog.GetCatalogSubcategoryInfo|AllowedWhenUntainted|
A|C_HousingCatalog.GetDestroyableInstanceCount|AllowedWhenUntainted|
A|C_HousingCatalog.GetMarketInfoForDecor|AllowedWhenUntainted|
A|C_HousingCatalog.HousingMarketActionAddToCart|AllowedWhenUntainted|
A|C_HousingCatalog.HousingMarketActionRemoveFromCart|AllowedWhenUntainted|
A|C_HousingCatalog.HousingMarketActionViewBundle|AllowedWhenUntainted|
A|C_HousingCatalog.HousingMarketActionViewInStore|AllowedWhenUntainted|
A|C_HousingCatalog.IsPreviewCartItemShown|AllowedWhenUntainted|
A|C_HousingCatalog.PromotePreviewDecor|AllowedWhenUntainted|
A|C_HousingCatalog.SearchCatalogCategories|AllowedWhenUntainted|
A|C_HousingCatalog.SearchCatalogSubcategories|AllowedWhenUntainted|
A|C_HousingCatalog.SetPreviewCartItemShown|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyDyeToSelectedDecor|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyPetToSelectedDecor|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyThemeToRoom|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyThemeToSelectedRoomComponent|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyWallpaperToAllWalls|AllowedWhenUntainted|
A|C_HousingCustomizeMode.ApplyWallpaperToSelectedRoomComponent|AllowedWhenUntainted|
A|C_HousingCustomizeMode.GetThemeSetInfo|AllowedWhenUntainted|
A|C_HousingCustomizeMode.GetWallpapersForRoomComponentType|AllowedWhenUntainted|
A|C_HousingCustomizeMode.RoomComponentSupportsVariant|AllowedWhenUntainted|
A|C_HousingCustomizeMode.RoomConnectionSupportsDoorType|AllowedWhenUntainted|
A|C_HousingCustomizeMode.SetRoomComponentCeilingType|AllowedWhenUntainted|
A|C_HousingCustomizeMode.SetRoomComponentDoorType|AllowedWhenUntainted|
A|C_HousingDecor.AnyDecorPlacedInRoom|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorAssignedPetName|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorCanAttachPet|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorHyperlink|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorIcon|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorInstanceInfoForGUID|AllowedWhenUntainted|
A|C_HousingDecor.GetDecorName|AllowedWhenUntainted|
A|C_HousingDecor.IsModeDisabledForPreviewState|AllowedWhenUntainted|
A|C_HousingDecor.RemovePlacedDecorEntry|AllowedWhenUntainted|
A|C_HousingDecor.SetGridVisible|AllowedWhenUntainted|
A|C_HousingDecor.SetPlacedDecorEntryHovered|AllowedWhenUntainted|
A|C_HousingDecor.SetPlacedDecorEntrySelected|AllowedWhenUntainted|
A|C_HousingExpertMode.GetPrecisionSubmodeRestriction|AllowedWhenUntainted|
A|C_HousingExpertMode.ResetPrecisionChanges|AllowedWhenUntainted|
A|C_HousingExpertMode.SetGridVisible|AllowedWhenUntainted|
A|C_HousingExpertMode.SetPrecisionIncrementingActive|AllowedWhenUntainted|
A|C_HousingExpertMode.SetPrecisionSubmode|AllowedWhenUntainted|
A|C_HousingLayout.AnyRoomsOnFloor|AllowedWhenUntainted|
A|C_HousingLayout.CanSetViewedFloor|AllowedWhenUntainted|
A|C_HousingLayout.ConfirmStairChoice|AllowedWhenUntainted|
A|C_HousingLayout.HasStairs|AllowedWhenUntainted|
A|C_HousingLayout.HasValidConnection|AllowedWhenUntainted|
A|C_HousingLayout.IsBaseRoom|AllowedWhenUntainted|
A|C_HousingLayout.MoveDraggedRoom|AllowedWhenUntainted|
A|C_HousingLayout.MoveLayoutCamera|AllowedWhenUntainted|
A|C_HousingLayout.RemoveRoom|AllowedWhenUntainted|
A|C_HousingLayout.RoomHasStairs|AllowedWhenUntainted|
A|C_HousingLayout.RotateFocusedRoom|AllowedWhenUntainted|
A|C_HousingLayout.RotateRoom|AllowedWhenUntainted|
A|C_HousingLayout.SelectFloorplan|AllowedWhenUntainted|
A|C_HousingLayout.SetViewedFloor|AllowedWhenUntainted|
A|C_HousingLayout.ZoomLayoutCamera|AllowedWhenUntainted|
A|C_HousingNeighborhood.CancelInviteToNeighborhood|AllowedWhenUntainted|
A|C_HousingNeighborhood.DemoteToResident|AllowedWhenUntainted|
A|C_HousingNeighborhood.GetNeighborhoodPlotName|AllowedWhenUntainted|
A|C_HousingNeighborhood.InvitePlayerToNeighborhood|AllowedWhenUntainted|
A|C_HousingNeighborhood.PromoteToManager|AllowedWhenUntainted|
A|C_HousingNeighborhood.TransferNeighborhoodOwnership|AllowedWhenUntainted|
A|C_HousingNeighborhood.TryEvictPlayer|AllowedWhenUntainted|
A|C_IncomingSummon.HasIncomingSummon|AllowedWhenUntainted|
A|C_IncomingSummon.IncomingSummonStatus|AllowedWhenUntainted|
A|C_InvasionInfo.GetInvasionForUiMapID|AllowedWhenUntainted|
A|C_InvasionInfo.GetInvasionInfo|AllowedWhenUntainted|
A|C_InvasionInfo.GetInvasionTimeLeft|AllowedWhenUntainted|
A|C_IslandsQueue.QueueForIsland|AllowedWhenUntainted|
A|C_IslandsQueue.RequestPreloadRewardData|AllowedWhenUntainted|
A|C_Item.CanBeRefunded|AllowedWhenUntainted|
A|C_Item.CanItemTransmogAppearance|AllowedWhenUntainted|
A|C_Item.CanScrapItem|AllowedWhenUntainted|
A|C_Item.CanViewItemPowers|AllowedWhenUntainted|
A|C_Item.DoesItemContainSpec|AllowedWhenUntainted|
A|C_Item.DoesItemExistByID|AllowedWhenUntainted|
